,Unnamed: 0,id,full_name,Age,FG_PCT,FGA/GP,FG3A/GP,FG3_PCT,REB/GP,AST/GP,STL/GP,PTS/GP,labels,labels_cat
0,0,1630173,Precious Achiuwa,23.0,0.461,6.999326296878508,1.651126581330938,0.215,6.629762706789431,0.99956583576615,0.2782393891758365,7.959832322778652,1,1
1,1,203500,Steven Adams,29.0,0.5816999999999999,6.352764966375069,0.0204888298332036,0.0333,8.272438911774968,1.6031290550770283,0.854303206931761,8.970650576793197,1,1
2,2,1628389,Bam Adebayo,25.0,0.5501666666666666,9.835185255320464,0.1740494565918744,0.0988333333333333,8.394741195568011,3.352981468155779,1.0670484042120445,14.332417936465854,1,1
3,3,1630583,Santi Aldama,21.0,0.4335,6.3625,2.95,0.199,4.559375,0.828125,0.59375,7.5625,3,3
4,4,200746,LaMarcus Aldridge,36.0,0.4947777777777779,14.811858828125189,0.9651434025202744,0.2744444444444445,7.520976422719313,1.933162927651324,0.6603769513227719,18.08328038996455,0,0
5,5,1629638,Nickeil Alexander-Walker,24.0,0.3945,7.152939111459001,3.515109466543324,0.2696666666666666,2.1013208725697163,1.9040569431596257,0.5407444831866665,7.447302750697754,3,3
6,6,1628960,Grayson Allen,27.0,0.3898,7.571470494417864,4.804612440191387,0.358,2.7478149920255186,1.8069601275917069,0.4742711323763955,9.063247208931418,0,0
7,7,1628386,Jarrett Allen,24.0,0.6234999999999999,7.466602474323063,0.213656921101774,0.14975,9.497338935574229,1.4756652661064424,0.5143747082166199,12.114543942577033,1,1
9,9,1630631,Jose Alvarado,24.0,0.5145,5.722222222222222,2.3935185185185186,0.3275,2.175925925925926,2.6574074074074074,1.1574074074074074,7.180555555555555,0,0
10,10,202329,Al-Farouq Aminu,30.0,0.3909230769230769,5.840485287332298,2.118215003789214,0.2776923076923077,5.633528554159548,1.2060945543386672,0.9084089272457327,6.547338565625664,0,0
11,11,203937,Kyle Anderson,29.0,0.4132222222222223,4.88810601863072,1.1172434849927066,0.2824444444444444,4.190407551554296,2.065449277408314,0.9312534496932277,5.871846575983877,0,0
12,12,203507,Giannis Antetokounmpo,27.0,0.5391,15.640331559092385,2.559330662242843,0.2898,9.920541953532004,4.7539214470723525,1.111394182767786,23.736133745339803,4,4
13,13,203648,Thanasis Antetokounmpo,30.0,0.4572,1.8940350877192984,0.3600877192982456,0.0768,1.1959210526315789,0.4030701754385964,0.213859649122807,2.444956140350877,3,3
14,14,2546,Carmelo Anthony,38.0,0.4437142857142856,17.897047418871868,3.966689742807066,0.3468571428571428,6.258551727110343,2.651996281359084,0.9396191894856248,22.373922791542437,4,4
15,15,1630175,Cole Anthony,22.0,0.401,13.008483360611018,4.89165302782324,0.3416666666666666,4.93532460447354,4.670676486633933,0.6986633933442444,14.903600654664483,4,4
16,16,1628384,OG Anunoby,25.0,0.4634999999999999,9.216504291310462,4.309228244985096,0.3805,4.618962536627749,1.5333610583592665,1.2991041003841324,11.487928740165849,0,0
17,17,1627853,Ryan Arcidiacono,28.0,0.365,2.420170252976766,1.4621194383167564,0.3118333333333333,1.327441561205929,1.3512034456957829,0.3523664163989834,2.984493078937524,3,3
18,18,2772,Trevor Ariza,37.0,0.4278076923076923,7.621999845036951,3.4625925503886137,0.2933846153846154,4.529312337540274,1.9981675292029848,1.290473219256712,9.11789036326678,0,0
19,19,201571,D.J. Augustin,34.0,0.4032499999999999,6.886016028366121,3.3226662171292034,0.3716249999999999,1.7260259293174738,3.5582025836721254,0.5455459638217207,8.741025601830321,0,0
20,20,1630166,Deni Avdija,21.0,0.4203333333333333,5.696251129177958,2.7565492321589886,0.3356666666666667,4.928259560373381,1.567750677506775,0.770701595904848,6.645663956639567,3,3
21,21,1630555,Joel Ayayi,22.0,0.167,0.8571428571428571,0.1428571428571428,0.0,0.4285714285714285,0.5714285714285714,0.0,0.2857142857142857,2,2
22,22,1629028,Deandre Ayton,24.0,0.5886,12.734930533250797,0.3531769141374458,0.2264,10.400331931884317,1.807671738630314,0.7154447053715545,16.874153786709314,1,1
23,23,1628962,Udoka Azubuike,22.0,0.5995,1.741176470588235,0.0,0.0,2.5215686274509803,0.0,0.0627450980392156,2.886274509803921,1,1
24,24,1628407,Dwayne Bacon,25.0,0.4,6.484782321306016,1.8568813216547968,0.3155,2.521150939645893,1.1087510969723564,0.4489250374095701,6.834689547447336,3,3
25,25,1628963,Marvin Bagley III,23.0,0.4995,10.705229539222412,1.9640445234171795,0.2576666666666667,7.249221359827136,0.8569088319088318,0.4937873624389003,13.054937185150989,1,1
26,26,1630163,LaMelo Ball,20.0,0.4325,14.948235294117646,6.325490196078431,0.3705,6.30078431372549,6.875294117647059,1.5874509803921568,17.925882352941176,4,4
27,27,1628366,Lonzo Ball,24.0,0.4011999999999999,11.024634656124018,6.499056144800827,0.362,5.7106514289493004,6.087970185842527,1.5753397429993174,11.890935636467551,4,4
29,29,1628964,Mo Bamba,24.0,0.4346,5.723347019540777,2.42762640478363,0.3032,5.209124428766505,0.8530518505380407,0.337424516061785,6.598750572126621,3,3
30,30,1630217,Desmond Bane,24.0,0.4539999999999999,13.141692466460269,6.7556243550051605,0.4453333333333333,3.960990712074304,3.357378740970072,0.871155830753354,16.667234262125902,4,4
31,31,1630625,Dalano Banton,22.0,0.4054999999999999,2.578125,0.8984375,0.2275,1.46875,1.0734375,0.31875,2.7015625,3,3
32,32,203084,Harrison Barnes,30.0,0.4479230769230768,11.203518019791243,3.769508223708696,0.3593076923076923,5.092604984705186,1.832146354074884,0.692803674140722,14.171205737960948,0,0
