,Name,Team,Position,Age,Height,Height_i,Weight,College,Salary
498,d'angelo russell,Minnesota Timberwolves,PG,25,"6' 4""",6.4,193,Ohio State,30013500.0
499,karl-anthony towns,Minnesota Timberwolves,C,25,"6' 11""",6.11,248,Kentucky,31650600.0
500,jarred vanderbilt,Minnesota Timberwolves,PF,22,"6' 9""",6.9,214,Kentucky,
501,darius bazley,Oklahoma City Thunder,PF,21,"6' 8""",6.8,208,,2513040.0
502,charlie brown jr.,Oklahoma City Thunder,F,24,"6' 6""",6.6,199,Saint Joseph's,1701593.0
503,charlie brown jr.,Oklahoma City Thunder,SF,24,"6' 6""",6.6,199,Saint Joseph's,
504,gabriel deck,Oklahoma City Thunder,SF,26,"6' 6""",6.6,231,,3676852.0
505,luguentz dort,Oklahoma City Thunder,SF,22,"6' 3""",6.3,215,Arizona State,1782621.0
506,derrick favors,Oklahoma City Thunder,C,30,"6' 9""",6.9,265,Georgia Tech,9720900.0
507,josh giddey,Oklahoma City Thunder,SG,18,"6' 8""",6.8,205,,5988000.0
508,shai gilgeous-alexander,Oklahoma City Thunder,SG,23,"6' 6""",6.6,180,Kentucky,5495532.0
509,josh hall,Oklahoma City Thunder,SF,20,"6' 9""",6.9,190,Moravian,
510,jaylen hoard,Oklahoma City Thunder,SF,22,"6' 8""",6.8,216,Wake Forest,
511,ty jerome,Oklahoma City Thunder,SG,24,"6' 5""",6.5,195,Virginia,2412840.0
512,vit krejci,Oklahoma City Thunder,F,21,"6' 8""",6.8,195,,
513,theo maledon,Oklahoma City Thunder,PG,20,"6' 4""",6.4,175,,2000000.0
514,tre mann,Oklahoma City Thunder,PG,20,"6' 3""",6.3,178,Florida,2901240.0
515,mike muscala,Oklahoma City Thunder,C,30,"6' 10""",6.1,240,Bucknell,3365385.0
516,svi mykhailiuk,Oklahoma City Thunder,SG,24,"6' 7""",6.7,205,Kansas,
517,aleksej pokusevski,Oklahoma City Thunder,PF,19,"7' 0""",7.0,190,,3113160.0
518,jeremiah robinson-earl,Oklahoma City Thunder,PF,20,"6' 8""",6.8,242,Villanova,2000000.0
519,isaiah roby,Oklahoma City Thunder,C,23,"6' 8""",6.8,230,Nebraska,1782621.0
520,aaron wiggins,Oklahoma City Thunder,SG,22,"6' 5""",6.5,190,Maryland,
521,kenrich williams,Oklahoma City Thunder,SF,26,"6' 6""",6.6,210,TCU,2000000.0
522,keljin blevins,Portland Trail Blazers,SF,25,"6' 4""",6.4,200,Montana State,
523,greg brown,Portland Trail Blazers,PF,20,"6' 9""",6.9,205,Texas,925258.0
524,robert covington,Portland Trail Blazers,PF,30,"6' 7""",6.7,209,Tennessee State,12975471.0
525,cj elleby,Portland Trail Blazers,SG,21,"6' 6""",6.6,200,Washington State,1517981.0
526,harry giles iii,Portland Trail Blazers,PF,23,"6' 11""",6.11,240,Duke,
527,rondae hollis-jefferson,Portland Trail Blazers,SF,26,"6' 6""",6.6,217,Arizona,
528,t.j. leaf,Portland Trail Blazers,PF,24,"6' 10""",6.1,222,UCLA,
529,damian lillard,Portland Trail Blazers,PG,31,"6' 2""",6.2,195,Weber State,39344900.0
530,nassir little,Portland Trail Blazers,SF,21,"6' 5""",6.5,220,North Carolina,2316240.0
531,cj mccollum,Portland Trail Blazers,SG,29,"6' 3""",6.3,190,Lehigh,30864198.0
532,ben mclemore,Portland Trail Blazers,SG,28,"6' 3""",6.3,195,Kansas,1669178.0
533,larry nance jr.,Portland Trail Blazers,PF,28,"6' 7""",6.7,245,Wyoming,10690909.0
534,jusuf nurkic,Portland Trail Blazers,C,27,"6' 11""",6.11,290,,12000000.0
535,norman powell,Portland Trail Blazers,SF,28,"6' 3""",6.3,215,UCLA,15517241.0
536,anfernee simons,Portland Trail Blazers,SG,22,"6' 3""",6.3,181,,3938818.0
537,tony snell,Portland Trail Blazers,SF,29,"6' 6""",6.6,213,New Mexico,1669178.0
538,trendon watford,Portland Trail Blazers,F,20,"6' 9""",6.9,240,LSU,
539,cody zeller,Portland Trail Blazers,C,28,"6' 11""",6.11,240,Indiana,1669178.0
540,udoka azubuike,Utah Jazz,C,21,"6' 10""",6.1,280,Kansas,2075880.0
541,bojan bogdanovic,Utah Jazz,SF,32,"6' 7""",6.7,226,,18700000.0
542,jarrell brantley,Utah Jazz,PF,25,"6' 5""",6.5,250,Charleston,1669178.0
543,jared butler,Utah Jazz,SG,21,"6' 3""",6.3,195,Baylor,925258.0
544,jordan clarkson,Utah Jazz,PG,29,"6' 4""",6.4,194,Missouri,12420000.0
545,mike conley,Utah Jazz,PG,33,"6' 1""",6.1,175,Ohio State,21000000.0
546,trent forrest,Utah Jazz,SG,23,"6' 4""",6.4,210,Florida State,
547,rudy gay,Utah Jazz,SF,35,"6' 8""",6.8,250,Connecticut,5890000.0
548,rudy gobert,Utah Jazz,C,29,"7' 1""",7.1,258,,35344828.0
549,elijah hughes,Utah Jazz,SF,23,"6' 5""",6.5,215,Syracuse,1517981.0
550,ersan ilyasova,Utah Jazz,PF,34,"6' 9""",6.9,235,,
551,joe ingles,Utah Jazz,SG,33,"6' 8""",6.8,220,,13036364.0
552,donovan mitchell,Utah Jazz,SG,25,"6' 1""",6.1,215,Louisville,28103500.0
553,juwan morgan,Utah Jazz,SF,24,"6' 7""",6.7,232,Indiana,
554,royce o'neale,Utah Jazz,PF,28,"6' 4""",6.4,226,Baylor,8800000.0
555,olumiye oni,Utah Jazz,SG,24,"6' 5""",6.5,206,Yale,1782621.0
556,eric paschall,Utah Jazz,F,24,"6' 6""",6.6,255,Villanova,1782621.0
557,hassan whiteside,Utah Jazz,C,32,"7' 0""",7.0,265,Marshall,1669178.0
